model,variable,coef,std_error,t_value,p_value,sig
H1_Direct,Intercept,38.10014220355129,6.726246789941972,5.664398496428048,1.475411671894811e-08,***
H1_Direct,DIV,-45.075406975678725,8.731429122501313,-5.162431755818441,2.437622548214395e-07,***
H1_Direct,size,0.06352084285437185,0.07200666759778863,0.8821522363621033,0.3776944872907808,
H1_Direct,Leverage,0.11130718016478906,0.1699667471197666,0.6548762157950624,0.5125474546063985,
H1_Direct,age,-0.03192215391466943,0.03148849397874384,-1.0137720126030267,0.3106915528643801,
H1_Direct,ROA,0.03698153727693066,0.19722741736270583,0.18750708076717726,0.8512630724993184,
H1_Direct,ROE,0.06657772357791442,0.09375622397870259,0.7101152409149715,0.47763267584181035,
H1_Direct,Q('Sales Growth'),-0.037359139013050505,0.015005129776694768,-2.4897578074316216,0.012783017104823834,**
H2_FirstStage,Intercept,44696.92526424992,15988.015203583393,2.7956519114537746,0.005179515332233753,***
H2_FirstStage,DIV,-53650.17214332816,19388.28648999296,-2.767143562223463,0.005654984639474458,***
H2_FirstStage,size,-7.369859646924231,12.441283875619915,-0.592371311562651,0.5536019727217344,
H2_FirstStage,Leverage,2.7745810848760732,45.74058355724453,0.06065906617487015,0.9516307320770714,
H2_FirstStage,age,19.34001380670621,9.973030000971278,1.9392314878048775,0.05247315707691501,*
H2_FirstStage,ROA,-263.3395726462129,190.34904053445962,-1.383456264905835,0.16652500865131215,
H2_FirstStage,ROE,-43.81331030648744,74.24270760371283,-0.5901362129779917,0.5550993324003124,
H2_FirstStage,Q('Sales Growth'),-4.194149701890899,5.791771367056075,-0.7241566415669412,0.4689695740482325,
H3_H5_OutcomeModeration,Intercept,8.333198664545415,6.180457416335912,1.3483142271184447,0.1775573381190093,
H3_H5_OutcomeModeration,DIV,1.840280050491322,1.8383394668754744,1.0010556176651888,0.3167999203552543,
H3_H5_OutcomeModeration,AMIHUD,-0.005412283035191532,0.004147333237127228,-1.305003173301914,0.191891767241687,
H3_H5_OutcomeModeration,CGQ,-1.0586342306488319,1.0009093859980946,-1.0576723981793563,0.29020482321744223,
H3_H5_OutcomeModeration,AMIHUD_x_CGQ,-0.01328421145272292,0.015154013082735633,-0.8766134343553588,0.38069663971196144,
H3_H5_OutcomeModeration,size,0.1545517215410298,0.10517276968020599,1.4695031994590246,0.14169635465356767,
H3_H5_OutcomeModeration,Leverage,-0.19026377194924332,0.39457688749084013,-0.48219695066062424,0.6296660428369608,
H3_H5_OutcomeModeration,age,-0.23228473503302466,0.18292507631610447,-1.2698353867658037,0.20414327277698374,
H3_H5_OutcomeModeration,ROA,-1.1206093220103308,1.1245285934739664,-0.9965147427229681,0.31900010753669317,
H3_H5_OutcomeModeration,ROE,-0.07210715138561667,0.28359057427949297,-0.2542649789007141,0.7992908536587306,
H3_H5_OutcomeModeration,Q('Sales Growth'),-0.08714497022581773,0.1132035658800329,-0.7698076429692092,0.44141400530811503,
